ecosystem,packageName,name,displayName,description,recipeCount,category1,category2
maven,org.openrewrite.recipe:rewrite-hibernate,org.openrewrite.hibernate.AddScalarPreferStandardBasicTypes,AddScalarPreferStandardBasicTypesForHibernate5,Prefer the use of `StandardBasicTypes.*` in `NativeQuery.addScalar(...)` invocations.,1,,Hibernate
maven,org.openrewrite.recipe:rewrite-hibernate,org.openrewrite.hibernate.EmptyInterceptorToInterface,Replace `extends EmptyInterceptor` with `implements Interceptor` and potentially `StatementInspector`,In Hibernate 6.0 the `Interceptor` interface received default implementations therefore the NOOP implementation that could be extended was no longer needed. This recipe migrates 5.x `Interceptor#onPrepareStatement(String)` to 6.0 `StatementInspector#inspect()`.,1,,Hibernate
maven,org.openrewrite.recipe:rewrite-hibernate,org.openrewrite.hibernate.MigrateBooleanMappings,Replace boolean type mappings with converters,Replaces type mapping of booleans with appropriate attribute converters.,1,,Hibernate
maven,org.openrewrite.recipe:rewrite-hibernate,org.openrewrite.hibernate.MigrateResultCheckStyleToExpectation,Migration of `ResultCheckStyle` to `Expectation`,"Will migrate the usage of `org.hibernate.annotations.ResultCheckStyle` to `org.hibernate.jdbc.Expectation` in `@SQLInsert`, `@SqlUpdate`, `@SqlDelete` and `@SqlDeleteAll` annotations.",1,,Hibernate
maven,org.openrewrite.recipe:rewrite-hibernate,org.openrewrite.hibernate.MigrateUserType,Migrate `UserType` to Hibernate 6,With Hibernate 6 the `UserType` interface received a type parameter making it more strictly typed. This recipe applies the changes required to adhere to this change.,1,,Hibernate
maven,org.openrewrite.recipe:rewrite-hibernate,org.openrewrite.hibernate.RemoveInvalidHibernateGeneratedValueAnnotation,Remove invalid `@GeneratedValue` annotation,Removes `@GeneratedValue` annotation from fields that are not also annotated with `@Id`.,1,,Hibernate
maven,org.openrewrite.recipe:rewrite-hibernate,org.openrewrite.hibernate.ReplaceLazyCollectionAnnotation,Replace `@LazyCollection` with `jakarta.persistence.FetchType`,Adds the `FetchType` to jakarta annotations and deletes `@LazyCollection`.,1,,Hibernate
maven,org.openrewrite.recipe:rewrite-hibernate,org.openrewrite.hibernate.TypeAnnotationParameter,`@Type` annotation type parameter migration,Hibernate 6.x has 'type' parameter of type String replaced with 'value' of type class.,1,,Hibernate
maven,org.openrewrite.recipe:rewrite-hibernate,org.openrewrite.hibernate.MigrateToHibernate60,Migrate to Hibernate 6.0.x,This recipe will apply changes commonly needed when migrating to Hibernate 6.0.x. The hibernate dependencies will be updated to use the new `org.hibernate.orm` group ID and the recipe will make changes necessary to use Hibernate with Jakarta EE 9.0.,117,,Hibernate
maven,org.openrewrite.recipe:rewrite-hibernate,org.openrewrite.hibernate.MigrateToHibernateDependencies60,Migrate Hibernate dependencies to 6.0.x,This recipe will migrate any existing dependencies on Hibernate 5.x to the latest 6.0.x release. This migration will include the adjustment to the new `org.hibernate.orm` group ID. It accounts for artifacts names that both do and do not include the `jakarta` suffix and it will change both dependencies and managed dependencies.,61,,Hibernate
maven,org.openrewrite.recipe:rewrite-hibernate,org.openrewrite.hibernate.TypeDescriptorToType,Rename `JavaTypeDescriptor` and `SqlTypeDescriptor` to `JavaType` and `SqlType`,Rename `JavaTypeDescriptor` and `SqlTypeDescriptor` to `JavaType` and `SqlType` respectively. See https://github.com/hibernate/hibernate-orm/blob/6.0/migration-guide.adoc#type-system for more details.,5,,Hibernate
maven,org.openrewrite.recipe:rewrite-hibernate,org.openrewrite.hibernate.MigrateToHypersistenceUtilsHibernate60,Migrate Hibernate Types to Hypersistence Utils 6.0,This recipe will migrate any existing dependencies on `com.vladmihalcea:hibernate-types` to `io.hypersistence:hypersistence-utils-hibernate-60`. This migration will include the adjustment from `com.vladmihalcea` to `io.hypersistence.utils` package name.,15,,Hibernate
maven,org.openrewrite.recipe:rewrite-hibernate,org.openrewrite.hibernate.MigrateToHibernate61,Migrate to Hibernate 6.1.x,This recipe will apply changes commonly needed when migrating to Hibernate 6.1.x. The hibernate dependencies will   be updated to use the new org.hibernate.orm group ID and the recipe will make changes necessary to use Hibernate with Jakarta EE 9.0.,121,,Hibernate
maven,org.openrewrite.recipe:rewrite-hibernate,org.openrewrite.hibernate.MigrateToHibernate62,Migrate to Hibernate 6.2.x,This recipe will apply changes commonly needed when migrating to Hibernate 6.2.x.,131,,Hibernate
maven,org.openrewrite.recipe:rewrite-hibernate,org.openrewrite.hibernate.MigrateToHypersistenceUtilsHibernate62,Migrate Hibernate Types to Hypersistence Utils 6.2,This recipe will migrate any existing dependencies on `io.hypersistence:hypersistence-utils-hibernate-60` to `io.hypersistence:hypersistence-utils-hibernate-62`.,3,,Hibernate
maven,org.openrewrite.recipe:rewrite-hibernate,org.openrewrite.hibernate.MigrateToHibernate63,Migrate to Hibernate 6.3.x,This recipe will apply changes commonly needed when migrating to Hibernate 6.3.x.,143,,Hibernate
